opening_name,side,num_games,ECO,last_played_date,perf_rating,avg_player,perc_player_win,perc_draw,pec_opponent_win,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,perc_white_win,perc_black_win,white_odds,white_wins,black_wins
"Polish Opening, Schiffler-Sokolsky Variation",white,307,A00,6/2/18,2111,2080,39.4,25.1,35.5,"['1.b4', 'Nf6', '2.Bb2', 'd5', '3.e3', 'e6', '4.b5']",b4,Nf6,Bb2,d5,e3,e6,b5,,39.4,35.5,1.109859155,120.958,108.985
"Polish Opening, Tartakower Gambit",white,128,A00,10/14/16,2156,2107,48.4,13.3,38.3,"['1.b4', 'e5', '2.Bb2', 'f6', '3.e4']",b4,e5,Bb2,f6,e4,,,,48.4,38.3,1.263707572,61.952,49.024
"Polish Opening, Zukertort System",white,329,A04,6/10/18,2195,2208,37.7,30.7,31.6,"['1.b4', 'Nf6', '2.Nf3']",b4,Nf6,Nf3,,,,,,37.7,31.6,1.193037975,124.033,103.964
"Saragossa Opening, General",white,799,A00,7/6/18,2056,2066,32.3,26.4,41.3,['1.c3'],c3,,,,,,,,32.3,41.3,0.782082324,258.077,329.987
"English Defense, Perrin Variation",black,236,A40,7/5/18,2384,2426,30.9,30.9,38.1,"['1.c4', 'e6', '2.d4', 'b6', '3.e4', 'Bb7', '4.Bd3', 'Nc6']",c4,e6,d4,b6,e4,Bb7,Bd3,Nc6,38.1,30.9,1.233009709,89.916,72.924
"English Opening, Adorjan Defense",black,211,A10,7/8/18,2451,2482,24.2,42.2,33.6,"['1.c4', 'g6', '2.e4', 'e5']",c4,g6,e4,e5,,,,,33.6,24.2,1.388429752,70.896,51.062
"English Opening, Agincourt Defense",black,7378,A13,7/8/18,2207,2225,32.9,30.9,36.2,"['1.c4', 'e6']",c4,e6,,,,,,,36.2,32.9,1.100303951,2670.836,2427.362
"English Opening, Agincourt Defense, Agincourt Variation",white,2111,A13,7/8/18,2368,2335,38.1,35.8,26.1,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3']",c4,e6,Nf3,d5,g3,,,,38.1,26.1,1.459770115,804.291,550.971
"English Opening, Agincourt Defense, Bogoljubow Defense",black,259,A13,6/15/18,2080,2059,22,25.9,52.1,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'Bd6']",c4,e6,Nf3,d5,g3,Nf6,Bg2,Bd6,52.1,22,2.368181818,134.939,56.98
"English Opening, Agincourt Defense, Catalan Defense Accepted",black,3992,A13,7/8/18,2369,2394,25.3,43.1,31.6,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'dxc4']",c4,e6,Nf3,d5,g3,Nf6,Bg2,dxc4,31.6,25.3,1.249011858,1261.472,1009.976
"English Opening, Agincourt Defense, Catalan Defense, Semi-Slav Defense",black,1711,A13,6/30/18,2111,2131,20.9,29.4,49.7,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'c6']",c4,e6,Nf3,d5,g3,Nf6,Bg2,c6,49.7,20.9,2.377990431,850.367,357.599
"English Opening, Agincourt Defense, Keres Defense",black,973,A14,6/23/18,2325,2356,18.7,46,35.3,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'Be7', '5.O-O', 'c5', '6.cxd5', 'Nxd5', '7.Nc3', 'Nc6']",c4,e6,Nf3,d5,g3,Nf6,Bg2,Be7,35.3,18.7,1.887700535,343.469,181.951
"English Opening, Agincourt Defense, King's Knight",black,4251,A13,7/6/18,2273,2286,27.6,36.2,36.2,"['1.c4', 'e6', '2.Nf3', 'd5']",c4,e6,Nf3,d5,,,,,36.2,27.6,1.311594203,1538.862,1173.276
"English Opening, Agincourt Defense, Kurajica Defense",black,504,A13,6/27/18,2159,2219,18.4,32.5,49,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'c6']",c4,e6,Nf3,d5,g3,c6,,,49,18.4,2.663043478,246.96,92.736
"English Opening, Agincourt Defense, Neo Catalan Declined",white,7749,A14,7/8/18,2370,2350,39.2,38.1,22.8,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'Be7', '5.O-O']",c4,e6,Nf3,d5,g3,Nf6,Bg2,Be7,39.2,22.8,1.719298246,3037.608,1766.772
"English Opening, Agincourt Defense, Tarrasch Defense",black,745,A14,6/4/18,2263,2269,27.9,31.7,40.4,"['1.c4', 'e6', '2.Nf3', 'd5', '3.g3', 'Nf6', '4.Bg2', 'c5', '5.b3', 'Nc6', '6.O-O', 'Be7']",c4,e6,Nf3,d5,g3,Nf6,Bg2,c5,40.4,27.9,1.448028674,300.98,207.855
"English Opening, Agincourt Defense, Wimpy System",white,696,A13,7/8/18,2275,2291,34.8,32,33.2,"['1.c4', 'e6', '2.Nf3', 'd5', '3.b3', 'Nf6', '4.Bb2', 'c5', '5.e3']",c4,e6,Nf3,d5,b3,Nf6,Bb2,c5,34.8,33.2,1.048192771,242.208,231.072
"English Opening, Anglo-Dutch Defense",black,5167,A10,7/7/18,2176,2203,31,27.4,41.6,"['1.c4', 'f5']",c4,f5,,,,,,,41.6,31,1.341935484,2149.472,1601.77
"English Opening, Anglo-Indian Defense, Anglo-Grünfeld Variation",black,1022,A16,7/2/18,2242,2251,24.5,36.6,38.9,"['1.c4', 'Nf6', '2.Nc3', 'd5', '3.cxd5', 'Nxd5', '4.g3', 'g6', '5.Bg2', 'Nxc3']",c4,Nf6,Nc3,d5,cxd5,Nxd5,g3,g6,38.9,24.5,1.587755102,397.558,250.39
"English Opening, Anglo-Indian Defense, Anglo-Grünfeld Variation",black,1380,A16,6/28/18,2243,2279,25.8,31.6,42.6,"['1.c4', 'Nf6', '2.Nc3', 'd5', '3.cxd5', 'Nxd5', '4.g3', 'g6', '5.Bg2', 'Nb6']",c4,Nf6,Nc3,d5,cxd5,Nxd5,g3,g6,42.6,25.8,1.651162791,587.88,356.04
"English Opening, Anglo-Indian Defense, Anglo-Grünfeld Variation",white,876,A16,7/6/18,2330,2287,47,32,21,"['1.c4', 'Nf6', '2.Nc3', 'd5', '3.cxd5', 'Nxd5', '4.Nf3']",c4,Nf6,Nc3,d5,cxd5,Nxd5,Nf3,,47,21,2.238095238,411.72,183.96
"English Opening, Anglo-Indian Defense, Anti-Anti-Grünfeld",white,704,A17,6/22/18,2397,2361,38.8,36.1,25.1,"['1.c4', 'Nf6', '2.Nc3', 'g6', '3.Nf3', 'Bg7', '4.e4']",c4,Nf6,Nc3,g6,Nf3,Bg7,e4,,38.8,25.1,1.545816733,273.152,176.704
"English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation",white,1975,A18,6/29/18,2358,2334,44.7,31.9,23.4,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.e4', 'd5', '4.e5']",c4,Nf6,Nc3,e6,e4,d5,e5,,44.7,23.4,1.91025641,882.825,462.15
"English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation",white,1261,A18,7/2/18,2263,2212,54.6,23.9,21.5,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.e4']",c4,Nf6,Nc3,e6,e4,,,,54.6,21.5,2.539534884,688.506,271.115
"English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation",black,170,A18,6/26/18,1981,1993,23.5,18.8,57.6,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.e4', 'Nc6']",c4,Nf6,Nc3,e6,e4,Nc6,,,57.6,23.5,2.45106383,97.92,39.95
"English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation",black,328,A19,5/31/18,2280,2338,27.1,31.7,41.2,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.e4', 'c5']",c4,Nf6,Nc3,e6,e4,c5,,,41.2,27.1,1.520295203,135.136,88.888
"English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",black,812,A19,6/26/18,2323,2354,28.4,34.6,37,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.e4', 'c5', '4.e5', 'Ng8']",c4,Nf6,Nc3,e6,e4,c5,e5,Ng8,37,28.4,1.302816901,300.44,230.608
"English Opening, Anglo-Indian Defense, Hedgehog System",black,2011,A17,7/1/18,2040,2055,35.4,28.9,35.7,"['1.c4', 'Nf6', '2.Nc3', 'e6']",c4,Nf6,Nc3,e6,,,,,35.7,35.4,1.008474576,717.927,711.894
"English Opening, Anglo-Indian Defense, King's Indian Formation",black,14610,A15,7/9/18,2267,2293,23.6,36.7,39.6,"['1.c4', 'Nf6', '2.Nf3', 'g6']",c4,Nf6,Nf3,g6,,,,,39.6,23.6,1.677966102,5785.56,3447.96
"English Opening, Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",black,589,A15,7/6/18,2379,2398,30.1,42.3,27.7,"['1.c4', 'Nf6', '2.Nf3', 'g6', '3.g3', 'b6', '4.Bg2', 'Bb7']",c4,Nf6,Nf3,g6,g3,b6,Bg2,Bb7,27.7,30.1,0.920265781,163.153,177.289
"English Opening, Anglo-Indian Defense, King's Knight Variation",white,13541,A15,7/9/18,2355,2334,39.3,37,23.7,"['1.c4', 'Nf6', '2.Nf3']",c4,Nf6,Nf3,,,,,,39.3,23.7,1.658227848,5321.613,3209.217
"English Opening, Anglo-Indian Defense, Mikenas-Carls Variation",black,9579,A15,7/6/18,2169,2191,30.8,29.7,39.5,"['1.c4', 'Nf6']",c4,Nf6,,,,,,,39.5,30.8,1.282467532,3783.705,2950.332
"English Opening, Anglo-Indian Defense, Nimzo-English Opening",black,3472,A17,7/6/18,2364,2403,22.1,42.6,35.3,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.Nf3', 'Bb4']",c4,Nf6,Nc3,e6,Nf3,Bb4,,,35.3,22.1,1.597285068,1225.616,767.312
"English Opening, Anglo-Indian Defense, Old Indian Formation",black,1377,A15,6/30/18,2188,2238,24.3,29.8,45.9,"['1.c4', 'Nf6', '2.Nf3', 'd6']",c4,Nf6,Nf3,d6,,,,,45.9,24.3,1.888888889,632.043,334.611
"English Opening, Anglo-Indian Defense, Queen's Indian Formation",black,3489,A13,7/8/18,2260,2293,21.8,38.1,40.2,"['1.c4', 'Nf6', '2.Nf3', 'e6', '3.g3', 'b6', '4.Bg2', 'Bb7']",c4,Nf6,Nf3,e6,g3,b6,Bg2,Bb7,40.2,21.8,1.844036697,1402.578,760.602
"English Opening, Anglo-Indian Defense, Queen's Indian Formation",black,2056,A15,7/7/18,2399,2429,24.8,46.2,29,"['1.c4', 'Nf6', '2.Nf3', 'b6']",c4,Nf6,Nf3,b6,,,,,29,24.8,1.169354839,596.24,509.888
"English Opening, Anglo-Indian Defense, Queen's Knight Variation",white,11066,A16,7/8/18,2219,2200,39.5,29.9,30.6,"['1.c4', 'Nf6', '2.Nc3']",c4,Nf6,Nc3,,,,,,39.5,30.6,1.290849673,4371.07,3386.196
"English Opening, Anglo-Indian Defense, Queens Indian Formation",black,646,A17,7/7/18,2226,2260,21.4,33.9,44.7,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.Nf3', 'b6']",c4,Nf6,Nc3,e6,Nf3,b6,,,44.7,21.4,2.088785047,288.762,138.244
"English Opening, Anglo-Indian Defense, Queens Indian Variation",white,191,A17,5/11/18,2490,2434,50.3,30.4,19.4,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.Nf3', 'b6', '4.e4', 'Bb7', '5.Bd3']",c4,Nf6,Nc3,e6,Nf3,b6,e4,Bb7,50.3,19.4,2.592783505,96.073,37.054
"English Opening, Anglo-Indian Defense, Romanishin Gambit",black,981,A13,7/1/18,2391,2418,32.5,38.2,29.3,"['1.c4', 'Nf6', '2.Nf3', 'e6', '3.g3', 'a6', '4.Bg2', 'b5']",c4,Nf6,Nf3,e6,g3,a6,Bg2,b5,29.3,32.5,0.901538462,287.433,318.825
"English Opening, Anglo-Indian Defense, Romanishin Variation",black,323,A11,5/19/18,2430,2442,30,38.4,31.6,"['1.c4', 'Nf6', '2.Nf3', 'e6', '3.g3', 'a6']",c4,Nf6,Nf3,e6,g3,a6,,,31.6,30,1.053333333,102.068,96.9
"English Opening, Anglo-Indian Defense, Scandavian Defense, Exchange Variation",black,405,A15,5/24/18,1939,2013,7.9,14.6,77.5,"['1.c4', 'Nf6', '2.Nf3', 'd5', '3.cxd5', 'Nxd5']",c4,Nf6,Nf3,d5,cxd5,Nxd5,,,77.5,7.9,9.810126582,313.875,31.995
"English Opening, Anglo-Indian Defense, Scandinavian Defense",black,269,A15,5/27/18,1847,1882,23.8,17.1,59.1,"['1.c4', 'Nf6', '2.Nf3', 'd5']",c4,Nf6,Nf3,d5,,,,,59.1,23.8,2.483193277,158.979,64.022
"English Opening, Anglo-Indian Defense, Slav Formation",black,341,A15,7/7/18,2260,2292,16.4,42.2,41.4,"['1.c4', 'Nf6', '2.Nf3', 'g6', '3.g3', 'c6']",c4,Nf6,Nf3,g6,g3,c6,,,41.4,16.4,2.524390244,141.174,55.924
"English Opening, Anglo-Indian Defense, Zviagintsev-Krasenkov Attack",white,244,A18,6/22/18,2451,2446,45.5,26.6,27.9,"['1.c4', 'Nf6', '2.Nc3', 'e6', '3.Nf3', 'Bb4', '4.g4']",c4,Nf6,Nc3,e6,Nf3,Bb4,g4,,45.5,27.9,1.630824373,111.02,68.076
"English Opening, Anglo-Lithuanian Variation",black,364,A10,6/12/18,2138,2148,32.1,25,42.9,"['1.c4', 'Nc6']",c4,Nc6,,,,,,,42.9,32.1,1.336448598,156.156,116.844
"English Opening, Anglo-Scandinavian Defense, General",black,130,A10,6/29/18,1759,1806,20.8,16.1,63.1,"['1.c4', 'd5']",c4,d5,,,,,,,63.1,20.8,3.033653846,82.03,27.04
"English Opening, Anglo-Slav Variation, General",black,6293,A11,7/8/18,2218,2232,29.2,33.5,37.3,"['1.c4', 'c6']",c4,c6,,,,,,,37.3,29.2,1.27739726,2347.289,1837.556
"English Opening, Drill Variation",black,127,A20,6/24/18,2316,2330,44.9,23.6,31.5,"['1.c4', 'e5', '2.g3', 'h5']",c4,e5,g3,h5,,,,,31.5,44.9,0.70155902,40.005,57.023
"English Opening, English Defense, General",black,2328,A10,7/7/18,2225,2254,37.6,27,35.4,"['1.c4', 'e6', '2.d4', 'b6']",c4,e6,d4,b6,,,,,35.4,37.6,0.941489362,824.112,875.328
"English Opening, General",white,4723,A10,7/9/18,2237,2207,36.9,27.6,35.5,['1.c4'],c4,,,,,,,,36.9,35.5,1.03943662,1742.787,1676.665
"English Opening, Golombek Defense",black,1239,A16,6/27/18,2153,2179,27,28.4,44.6,"['1.c4', 'Nf6', '2.Nc3', 'd5']",c4,Nf6,Nc3,d5,,,,,44.6,27,1.651851852,552.594,334.53
"English Opening, Great Snake Variation",black,8847,A10,7/7/18,2272,2288,36,31.6,32.4,"['1.c4', 'g6']",c4,g6,,,,,,,32.4,36,0.9,2866.428,3184.92
"English Opening, King's English Variation, Bellon Gambit",black,138,A22,8/30/17,2280,2276,31.2,30.4,38.4,"['1.c4', 'e5', '2.Nc3', 'Nf6', '3.Nf3', 'e4', '4.Ng5', 'b5']",c4,e5,Nc3,Nf6,Nf3,e4,Ng5,b5,38.4,31.2,1.230769231,52.992,43.056
"English Opening, King's English Variation, Botvinnik System",white,872,A26,6/21/18,2311,2292,33.4,37.6,29,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.d3', 'd6', '6.e4']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,33.4,29,1.151724138,291.248,252.88
"English Opening, King's English Variation, Botvinnik System, Prickly Pawn Pass System",black,141,A26,7/8/18,2363,2362,40.4,31.9,27.7,"['1.c4', 'e5', '2.Nc3', 'Nf6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.d3', 'd6', '6.e4', 'O-O', '7.Nge2', 'c6', '8.O-O', 'a6']",c4,e5,Nc3,Nf6,g3,g6,Bg2,Bg7,27.7,40.4,0.685643564,39.057,56.964
"English Opening, King's English Variation, Bremen-Hort Variation",black,383,A25,5/6/18,2237,2254,35,26.4,38.6,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.e3', 'd6', '6.Nge2', 'Be6']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,38.6,35,1.102857143,147.838,134.05
"English Opening, King's English Variation, Closed System",white,546,A25,7/8/18,2276,2262,38.1,32,29.9,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.d3']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,38.1,29.9,1.274247492,208.026,163.254
"English Opening, King's English Variation, Closed System, Full Symmetry",black,1471,A26,6/24/18,2265,2288,30.3,36.1,33.6,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.d3', 'd6']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,33.6,30.3,1.108910891,494.256,445.713
"English Opening, King's English Variation, Four Knights Variation",black,119,A28,7/23/17,2390,2419,31.1,39.5,29.4,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.d4', 'exd4', '5.Nxd4', 'Bb4', '6.Bg5', 'h6', '7.Bh4', 'Bxc3+', '8.bxc3', 'Ne5']",c4,e5,Nc3,Nc6,Nf3,Nf6,d4,exd4,29.4,31.1,0.945337621,34.986,37.009
"English Opening, King's English Variation, Four Knights Variation, Botvinnik Line",white,1008,A28,6/18/18,2303,2276,39,29.5,31.6,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.e4']",c4,e5,Nc3,Nc6,Nf3,Nf6,e4,,39,31.6,1.234177215,393.12,318.528
"English Opening, King's English Variation, Four Knights Variation, Bradley Beach Variation",black,152,A28,6/17/18,2273,2273,38.8,27.6,33.5,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.d4', 'e4']",c4,e5,Nc3,Nc6,Nf3,Nf6,d4,e4,33.5,38.8,0.863402062,50.92,58.976
"English Opening, King's English Variation, Four Knights Variation, Fianchetto Lines",white,5595,A29,7/8/18,2388,2363,36.4,37,26.7,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.g3']",c4,e5,Nc3,Nc6,Nf3,Nf6,g3,,36.4,26.7,1.36329588,2036.58,1493.865
"English Opening, King's English Variation, Four Knights Variation, Flexible Line",white,1125,A28,6/24/18,2339,2309,35.7,36.8,27.5,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.d3']",c4,e5,Nc3,Nc6,Nf3,Nf6,d3,,35.7,27.5,1.298181818,401.625,309.375
"English Opening, King's English Variation, Four Knights Variation, General",black,1026,A28,6/29/18,2232,2255,33.1,29,37.8,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6']",c4,e5,Nc3,Nc6,Nf3,Nf6,,,37.8,33.1,1.141993958,387.828,339.606
"English Opening, King's English Variation, Four Knights Variation, Korchnoi Line",white,1021,A28,7/7/18,2422,2411,37.8,37.3,24.9,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.a3']",c4,e5,Nc3,Nc6,Nf3,Nf6,a3,,37.8,24.9,1.518072289,385.938,254.229
"English Opening, King's English Variation, Four Knights Variation, Quiet Line",black,542,A28,7/6/18,2414,2439,28.4,40.6,31,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.e3', 'Bb4', '5.Qc2', 'Bxc3']",c4,e5,Nc3,Nc6,Nf3,Nf6,e3,Bb4,31,28.4,1.091549296,168.02,153.928
"English Opening, King's English Variation, Four Knights Variation, Quiet Line",white,170,A28,6/6/18,2430,2352,37.6,34.1,28.2,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.e3', 'Bb4', '5.Qc2', 'O-O', '6.Nd5', 'Re8', '7.Qf5']",c4,e5,Nc3,Nc6,Nf3,Nf6,e3,Bb4,37.6,28.2,1.333333333,63.92,47.94
"English Opening, King's English Variation, Four Knights Variation, Quiet Line",white,2076,A28,7/7/18,2360,2343,38.4,34.2,27.4,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3', 'Nf6', '4.e3']",c4,e5,Nc3,Nc6,Nf3,Nf6,e3,,38.4,27.4,1.401459854,797.184,568.824
"English Opening, King's English Variation, General Variation",white,1016,A21,6/16/18,2258,2262,34.7,29.4,35.8,"['1.c4', 'e5', '2.Nc3', 'd6', '3.Nf3']",c4,e5,Nc3,d6,Nf3,,,,34.7,35.8,0.969273743,352.552,363.728
"English Opening, King's English Variation, General",black,14322,A20,7/9/18,2213,2243,29.4,30.5,40.1,"['1.c4', 'e5']",c4,e5,,,,,,,40.1,29.4,1.363945578,5743.122,4210.668
"English Opening, King's English Variation, Hungarian Attack",white,1111,A25,6/12/18,2410,2391,40,35.2,24.8,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7', '5.Rb1']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,40,24.8,1.612903226,444.4,275.528
"English Opening, King's English Variation, Kramnik-Shirov Counter",black,2686,A21,7/8/18,2343,2345,37.4,31.3,31.3,"['1.c4', 'e5', '2.Nc3', 'Bb4']",c4,e5,Nc3,Bb4,,,,,31.3,37.4,0.836898396,840.718,1004.564
"English Opening, King's English Variation, Nimzowitsch Variation, General",white,233,A20,7/7/18,2329,2312,40.8,28.8,30.5,"['1.c4', 'e5', '2.Nf3']",c4,e5,Nf3,,,,,,40.8,30.5,1.337704918,95.064,71.065
"English Opening, King's English Variation, Nimzowitsch-Flohr Variation",black,147,A20,6/29/18,2385,2398,33.3,32.6,34,"['1.c4', 'e5', '2.Nf3', 'e4']",c4,e5,Nf3,e4,,,,,34,33.3,1.021021021,49.98,48.951
"English Opening, King's English Variation, Reversed Closed Sicilian",black,3548,A25,7/6/18,2155,2175,36.4,25.1,38.6,"['1.c4', 'e5', '2.Nc3', 'Nc6']",c4,e5,Nc3,Nc6,,,,,38.6,36.4,1.06043956,1369.528,1291.472
"English Opening, King's English Variation, Reversed Sicilian",white,3791,A21,7/9/18,2209,2181,41.3,26.5,32.2,"['1.c4', 'e5', '2.Nc3']",c4,e5,Nc3,,,,,,41.3,32.2,1.282608696,1565.683,1220.702
"English Opening, King's English Variation, Taimanov Variation",black,3259,A25,7/7/18,2227,2259,31.1,31.6,37.3,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.g3', 'g6', '4.Bg2', 'Bg7']",c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,37.3,31.1,1.199356913,1215.607,1013.549
"English Opening, King's English Variation, Three Knights System, General",white,2549,A27,7/6/18,2267,2255,39.5,28.3,32.3,"['1.c4', 'e5', '2.Nc3', 'Nc6', '3.Nf3']",c4,e5,Nc3,Nc6,Nf3,,,,39.5,32.3,1.222910217,1006.855,823.327
"English Opening, King's English Variation, Troger Defense",black,763,A21,6/2/18,2236,2262,34.5,26.9,38.7,"['1.c4', 'e5', '2.Nc3', 'd6', '3.g3', 'Be6', '4.Bg2', 'Nc6']",c4,e5,Nc3,d6,g3,Be6,Bg2,Nc6,38.7,34.5,1.12173913,295.281,263.235
"English Opening, King's English Variation, Two Knights' Variation, Fianchetto Line",white,2188,A22,7/4/18,2113,2084,44.7,25.9,29.3,"['1.c4', 'e5', '2.Nc3', 'Nf6', '3.g3']",c4,e5,Nc3,Nf6,g3,,,,44.7,29.3,1.52559727,978.036,641.084
"English Opening, King's English Variation, Two Knights' Variation, Fianchetto Lines",black,365,A24,6/28/18,2072,2101,30.7,25.2,44.1,"['1.c4', 'e5', '2.Nc3', 'Nf6', '3.g3', 'g6']",c4,e5,Nc3,Nf6,g3,g6,,,44.1,30.7,1.436482085,160.965,112.055
